Aruba,688270000
Afghanistan,1420862000
Angola,28457389801
Albania,1257728455
Andorra,
Arab World,8.56E+11
United Arab Emirates,2.01E+11
Argentina,87373147886
Armenia,558990819.1
American Samoa,
Antigua and Barbuda,440430000
Australia,3.59E+11
Austria,1.28E+11
Azerbaijan,15594235294
Burundi,-155768123.1
Belgium,1.36E+11
Benin,3052200705
Burkina Faso,2712925639
Bangladesh,74897840520
Bulgaria,16672024614
Bahrain,16599970000
Bahamas,3553800000
Bosnia and Herzegovina,1002881919
Belarus,18347356344
Belize,264187250
Bermuda,3012201000
Bolivia,5484974244
Brazil,2.72E+11
Barbados,537363650
Brunei Darussalam,7341943996
Bhutan,546883782.1
Botswana,5561488058
Central African Republic,-28423192.6
Canada,3.65E+11
Central Europe and the Baltics,4.28E+11
Switzerland,2.46E+11
Channel Islands,
Chile,63275139319
China,6.36E+12
C?te d¡¯Ivoire,12416378938
Cameroon,7082130221
Democratic Republic of the Congo,10732089809
Congo,5054692607
Colombia,52336784471
Comoros,-7001228.558
Cabo Verde,412425864
Costa Rica,11883367794
Caribbean small states,
Cuba,13976000000
Curacao,788000000
Cayman Islands,
Cyprus,4698292847
Czechia,82584831406
Germany,1.05E+12
Djibouti,475050000
Dominica,
Denmark,1.05E+11
Dominican Republic,18794102606
Algeria,67672529313
East Asia & Pacific (excluding high income),7.20E+12
Early-demographic dividend,2.98E+12
East Asia & Pacific,
Europe & Central Asia (excluding high income),9.41E+11
Europe & Central Asia,5.85E+12
Ecuador,26853584000
"Egypt, Arab Rep.",28479498861
Euro area,3.47E+12
Eritrea,-5.12E+08
Spain,3.31E+11
Estonia,9798306997
Ethiopia,21220316388
European Union,4.08E+12
Fragile and conflict affected situations,
Finland,66281846776
Fiji,
France,6.29E+11
Faroe Islands,931210000
Micronesia (Federated States of),-45000000
Gabon,8660711268
The United Kingdom,4.63E+11
Georgia,2915919894
Ghana,14794410013
Gibraltar,
Guinea,564118473.2
Gambia,108325463.2
Guinea-Bissau,-16507781.56
Equatorial Guinea,1774603757
Greece,26301074068
Grenada,
Greenland,599820000
Guatemala,3100600387
Guam,
Guyana,-2640000
High income,1.29E+13
"Hong Kong SAR, China",75222118710
Honduras,1548364853
Heavily indebted poor countries (HIPC),1.60E+11
Croatia,13619775409
Haiti,-1253840674
Hungary,51122854882
IBRD only,1.05E+13
IDA & IBRD total,1.09E+13
IDA total,4.06E+11
IDA blend,1.50E+11
Indonesia,3.73E+11
IDA only,2.56E+11
Isle of Man,
India,7.94E+11
Not classified,
Ireland,2.24E+11
Iran (Islamic Republic of),1.78E+11
Iraq,31940528839
Iceland,6011135766
Israel,91669951785
Italy,4.23E+11
Jamaica,1682976589
Jordan,2196217004
Japan,1.22E+12
Kazakhstan,70633073024
Kenya,4250985391
Kyrgyzstan,96521891.65
Cambodia,6983108386
Kiribati,-99730000
Saint Kitts and Nevis,
Republic of Korea,5.65E+11
Kuwait,53670530000
Latin America & Caribbean (excluding high income),9.01E+11
Lao People's Democratic Republic,3214010000
Lebanon,-3562248516
Liberia,-980889400
Libya,59003760000
Saint Lucia,
Latin America & Caribbean,1.04E+12
Least developed countries: UN classification,2.39E+11
Low income,
Liechtenstein,
Sri Lanka,17865016368
Lower middle income,1.44E+12
Low & middle income,1.06E+13
Lesotho,-400517824.8
Late-demographic dividend,8.72E+12
Lithuania,12386013747
Luxembourg,37981144950
Latvia,7348035894
"Macao SAR, China",34605414782
Saint Martin,
Morocco,27852575101
Monaco,
Moldova,164926751.9
Madagascar,2161098929
Maldives,2175334807
Middle East & North Africa,1.11E+12
Mexico,3.01E+11
Marshall Islands,-66130000
Middle income,1.05E+13
North Macedonia,2548003920
Mali,1776314434
Malta,5437450087
Myanmar,22539320000
Middle East & North Africa (excluding high income),
Montenegro,600066699.5
Mongolia,4650904168
Northern Mariana Islands (Commonwealth of the),
Mozambique,1773299960
Mauritania,2324751167
Mauritius,1238896641
Malawi,527797086.2
Malaysia,1.04E+11
North America,4.26E+12
Namibia,110035436.4
New Caledonia,
Niger,1869809835
Nigeria,92422702906
Nicaragua,1536726678
Netherlands,2.88E+11
Norway,1.24E+11
Nepal,5813570060
Nauru,
New Zealand,50015970000
OECD members,1.21E+13
Oman,26537815183
Other small states,1.75E+11
Pakistan,15053464154
Panama,24442588000
Peru,50137536332
Philippines,53741437967
Palau,-10130000
Papua New Guinea,1305640000
Poland,1.46E+11
Pre-demographic dividend,2.74E+11
Puerto Rico,27157300000
Democratic People's Republic of Korea,
Portugal,45912017336
Paraguay,8620100617
West Bank and Gaza,
Pacific island small states,
Post-demographic dividend,1.13E+13
French Polynesia,
Qatar,1.00E+11
Romania,47697279313
Russian Federation,5.32E+11
Rwanda,1319757534
South Asia,9.10E+11
Saudi Arabia,2.95E+11
Sudan,17331453753
Senegal,4211065288
Singapore,2.00E+11
Solomon Islands,1.98E+07
Sierra Leone,-351808680.9
El Salvador,272920000
San Marino,733570000
Somalia,-3465439415
Serbia,7783882314
Sub-Saharan Africa (excluding high income),3.57E+11
South Sudan,1619960000
Sub-Saharan Africa,3.58E+11
Small states,1.95E+11
Sao Tome and Principe,
Suriname,2.22E+09
Slovak Republic,25170441755
Slovenia,15807278978
Sweden,1.53E+11
Eswatini,675147079.6
Sint Maarten (Dutch part),
Seychelles,276446695.4
Syrian Arab Republic,
Turks and Caicos Islands,
Chad,2300034743
East Asia & Pacific (IDA & IBRD countries),7.19E+12
Europe & Central Asia (IDA & IBRD countries),1.15E+12
Togo,813394491.7
Thailand,1.84E+11
Tajikistan,-1.57E+07
Turkmenistan,2.78E+10
Latin America & the Caribbean (IDA & IBRD countries),9.91E+11
Timor-Leste,-35577900
Middle East & North Africa (IDA & IBRD countries),
Tonga,-6.13E+07
South Asia (IDA & IBRD),9.10E+11
Sub-Saharan Africa (IDA & IBRD countries),3.58E+11
Trinidad and Tobago,
Tunisia,2765676118
Turkey,2.10E+11
Tuvalu,
Tanzania,17093940000
Uganda,6919612846
Ukraine,7329332652
Upper middle income,9.11E+12
Uruguay,10412604888
United States of America,3.89E+12
Uzbekistan,16903439174
St. Vincent and the Grenadines,
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Viet Nam,66468326881
Vanuatu,191060000
World,2.35E+13
Samoa,
Kosovo[1],235525787.1
Yemen,
South Africa,64899122685
Zambia,9339457228
Zimbabwe,-645910000
